個人ID,年収（万円）,LN年収,女性ダミー,"中学3年生の時
の学年成績",教育年数,"大卒以上ダミー
（基準は高卒以下）","短期高等教育卒ダミー
（基準は高卒以下）",勤続年数,勤続年数の2乗,大企業ダミー,"正規雇用ダミー
（基準は非正規雇用）","ホワイトカラー・ダミー
（専門職、技術職、事務職。
基準はブルーカラー）","管理職ダミー
（基準は非管理職）","転職ダミー
（基準は転職経験なし）"
2119,300,5.70,1,3,13,0,1,14.7,216.09,0,1,1,0,0
2120,550,6.31,0,5,13,0,1,21,441,1,1,1,1,0
2121,300,5.70,0,3,13,0,1,21,441,0,0,1,0,0
2122,300,5.70,1,1,13,0,1,14.7,216.09,0,1,1,0,0
2123,450,6.11,0,3,13,0,1,21,441,0,1,0,0,0
2124,275,5.62,0,5,13,0,1,21,441,0,0,1,0,0
2125,500,6.21,0,1,13,0,1,21,441,1,1,1,0,0
2126,275,5.62,0,4,13,0,1,21,441,0,0,1,0,0
2127,450,6.11,1,5,13,0,1,14.7,216.09,0,1,1,0,0
2128,300,5.70,0,4,13,0,1,21,441,0,0,0,0,0
2129,600,6.40,0,1,13,0,1,21,441,1,1,0,0,0
2130,600,6.40,0,4,13,0,1,21,441,1,1,1,1,0
2131,550,6.31,0,4,13,0,1,21,441,1,1,1,1,0
2132,100,4.61,0,4,13,0,1,22,484,0,0,1,0,1
2133,100,4.61,0,1,13,0,1,22,484,0,0,0,0,1
2134,250,5.52,0,3,13,0,1,22,484,0,0,1,0,0
2135,50,3.91,1,5,13,0,1,15.4,237.16,0,0,0,0,0
2136,356.25,5.88,1,5,13,0,1,15.4,237.16,0,1,1,0,0
2137,106.25,4.67,1,2,13,0,1,15.4,237.16,0,0,0,0,1
2138,225,5.42,0,4,13,0,1,22,484,0,0,0,0,1
2139,300,5.70,1,3,13,0,1,15.4,237.16,0,1,0,0,0
2140,250,5.52,1,5,13,0,1,15.4,237.16,0,0,1,0,0
2141,250,5.52,0,4,13,0,1,22,484,0,0,0,0,1
2142,100,4.61,1,1,13,0,1,15.4,237.16,0,0,1,0,1
2143,350,5.86,1,2,13,0,1,15.4,237.16,0,1,0,0,0
2144,200,5.30,0,1,13,0,1,22,484,0,0,0,0,0
2145,150,5.01,1,4,13,0,1,15.4,237.16,0,0,1,0,1
2146,300,5.70,1,2,13,0,1,15.4,237.16,0,1,1,0,0
2147,400,5.99,1,5,13,0,1,15.4,237.16,0,1,1,0,0
2148,450,6.11,0,5,13,0,1,22,484,0,1,1,1,0
2149,500,6.21,0,3,13,0,1,22,484,1,1,1,0,0
2150,450,6.11,0,4,13,0,1,22,484,0,1,0,0,0
2151,300,5.70,0,2,13,0,1,22,484,0,0,0,0,0
2152,600,6.40,0,3,13,0,1,22,484,1,1,1,1,0
2153,600,6.40,0,4,13,0,1,22,484,1,1,1,1,0
2154,350,5.86,0,1,13,0,1,22,484,0,1,1,0,0
2155,150,5.01,1,5,14,0,1,0.7,0.49,0,0,1,0,0
2156,200,5.30,1,4,14,0,1,0.7,0.49,0,0,0,0,0
2157,200,5.30,1,2,14,0,1,0.7,0.49,0,0,1,0,0
2158,200,5.30,0,4,14,0,1,2,4,0,0,1,0,0
2159,225,5.42,0,4,14,0,1,2,4,0,0,1,0,0
2160,125,4.83,0,4,14,0,1,2,4,0,0,0,0,0
2161,150,5.01,1,5,14,0,1,1.4,1.96,0,0,1,0,0
2162,100,4.61,1,3,14,0,1,1.4,1.96,0,0,1,0,1
2163,75,4.32,1,5,14,0,1,1.4,1.96,0,0,0,0,1
2164,200,5.30,1,2,14,0,1,1.4,1.96,0,0,0,0,0
2165,100,4.61,1,1,14,0,1,1.4,1.96,0,0,0,0,0
2166,200,5.30,0,2,14,0,1,2,4,0,0,1,0,0
2167,100,4.61,1,5,14,0,1,1.4,1.96,0,0,0,0,1
2168,150,5.01,1,4,14,0,1,1.4,1.96,0,0,0,0,0
2169,150,5.01,1,4,14,0,1,1.4,1.96,0,0,1,0,0
2170,250,5.52,0,1,14,0,1,2,4,0,0,0,0,1
2171,106.25,4.67,0,1,14,0,1,3,9,0,0,0,0,0
2172,100,4.61,1,1,14,0,1,2.1,4.41,0,0,0,0,1
2173,100,4.61,1,5,14,0,1,2.1,4.41,0,0,0,0,0
2174,250,5.52,0,4,14,0,1,3,9,0,0,0,0,0
2175,250,5.52,0,4,14,0,1,3,9,0,0,0,0,0
2176,200,5.30,0,3,14,0,1,3,9,0,0,0,0,0
2177,200,5.30,1,1,14,0,1,2.1,4.41,0,0,0,0,0
2178,150,5.01,0,5,14,0,1,3,9,0,0,1,0,0
2179,250,5.52,0,5,14,0,1,3,9,0,0,1,0,1
2180,156.25,5.05,0,3,14,0,1,3,9,0,0,1,0,0
2181,250,5.52,0,5,14,0,1,3,9,0,0,0,0,0
2182,200,5.30,0,5,14,0,1,3,9,0,0,1,0,1
2183,200,5.30,1,5,14,0,1,2.8,7.84,0,0,1,0,1
2184,150,5.01,1,4,14,0,1,2.8,7.84,0,0,0,0,0
2185,100,4.61,1,4,14,0,1,2.8,7.84,0,0,1,0,0
2186,150,5.01,0,3,14,0,1,4,16,0,0,1,0,1
2187,150,5.01,1,3,14,0,1,2.8,7.84,0,0,1,0,1
2188,200,5.30,0,4,14,0,1,4,16,0,0,0,0,1
2189,200,5.30,1,5,14,0,1,2.8,7.84,0,0,0,0,0
2190,200,5.30,0,1,14,0,1,4,16,0,0,0,0,1
2191,200,5.30,1,1,14,0,1,2.8,7.84,0,0,1,0,0
2192,200,5.30,1,5,14,0,1,2.8,7.84,0,0,0,0,1
2193,300,5.70,0,3,14,0,1,4,16,0,0,1,0,0
2194,150,5.01,0,4,14,0,1,4,16,0,0,1,0,1
2195,200,5.30,1,1,14,0,1,2.8,7.84,0,0,1,0,1
2196,200,5.30,1,2,14,0,1,2.8,7.84,0,0,0,0,0
2197,150,5.01,1,3,14,0,1,2.8,7.84,0,0,0,0,0
2198,150,5.01,1,4,14,0,1,2.8,7.84,0,0,1,0,0
2199,300,5.70,1,2,14,0,1,2.8,7.84,0,1,1,0,0
2200,250,5.52,1,2,14,0,1,2.8,7.84,0,0,0,0,0
2201,250,5.52,1,5,14,0,1,2.8,7.84,0,0,1,0,1
2202,300,5.70,1,5,14,0,1,2.8,7.84,0,1,1,0,0
2203,250,5.52,1,4,14,0,1,2.8,7.84,0,0,0,0,0
2204,75,4.32,1,2,14,0,1,3.5,12.25,0,0,0,0,1
2205,150,5.01,1,5,14,0,1,3.5,12.25,0,0,1,0,1
2206,75,4.32,1,5,14,0,1,3.5,12.25,0,0,1,0,0
2207,250,5.52,0,5,14,0,1,5,25,0,0,1,0,0
2208,250,5.52,1,5,14,0,1,3.5,12.25,0,0,1,0,0
2209,200,5.30,1,2,14,0,1,3.5,12.25,0,0,0,0,0
2210,125,4.83,1,2,14,0,1,3.5,12.25,0,0,1,0,1
2211,200,5.30,0,5,14,0,1,5,25,0,0,1,0,0
2212,200,5.30,0,1,14,0,1,5,25,0,0,0,0,1
2213,200,5.30,1,4,14,0,1,3.5,12.25,0,0,1,0,0
2214,250,5.52,0,1,14,0,1,5,25,0,0,1,0,0
2215,200,5.30,0,1,14,0,1,5,25,0,0,0,0,0
2216,250,5.52,0,4,14,0,1,5,25,0,0,1,0,0
2217,250,5.52,0,1,14,0,1,5,25,0,0,0,0,0
2218,300,5.70,0,4,14,0,1,5,25,0,0,1,0,0
2219,350,5.86,0,1,14,0,1,5,25,0,1,0,0,0
2220,250,5.52,1,4,14,0,1,3.5,12.25,0,0,1,0,0
2221,200,5.30,1,2,14,0,1,3.5,12.25,0,0,0,0,0
2222,300,5.70,1,1,14,0,1,3.5,12.25,0,1,1,0,0
2223,300,5.70,1,3,14,0,1,3.5,12.25,0,1,0,0,0
2224,300,5.70,1,4,14,0,1,3.5,12.25,0,1,1,0,0
2225,100,4.61,1,4,14,0,1,4.2,17.64,0,0,0,0,1
2226,100,4.61,1,1,14,0,1,4.2,17.64,0,0,0,0,0
2227,150,5.01,0,1,14,0,1,6,36,0,0,0,0,0
2228,250,5.52,0,1,14,0,1,6,36,0,0,0,0,0
2229,200,5.30,0,4,14,0,1,6,36,0,0,1,0,0
2230,100,4.61,1,4,14,0,1,4.2,17.64,0,0,1,0,1
2231,250,5.52,0,4,14,0,1,6,36,0,0,1,0,1
2232,250,5.52,1,3,14,0,1,4.2,17.64,0,0,0,0,0
2233,250,5.52,0,4,14,0,1,6,36,0,0,1,0,0
2234,100,4.61,1,5,14,0,1,4.2,17.64,0,0,1,0,1
2235,250,5.52,1,1,14,0,1,4.2,17.64,0,0,0,0,0
2236,200,5.30,1,4,14,0,1,4.2,17.64,0,0,1,0,1
2237,300,5.70,0,5,14,0,1,6,36,0,0,1,0,0
2238,250,5.52,1,3,14,0,1,4.2,17.64,0,0,0,0,0
2239,250,5.52,0,1,14,0,1,6,36,0,0,0,0,0
2240,300,5.70,0,1,14,0,1,6,36,0,0,0,0,0
2241,250,5.52,0,1,14,0,1,6,36,0,0,0,0,0
2242,250,5.52,0,3,14,0,1,6,36,0,0,0,0,0
2243,300,5.70,0,4,14,0,1,6,36,0,0,1,0,1
2244,150,5.01,1,2,14,0,1,4.9,24.01,0,0,0,0,1
2245,25,3.22,1,5,14,0,1,4.9,24.01,0,0,0,0,0
2246,225,5.42,1,5,14,0,1,4.9,24.01,0,0,1,0,0
2247,200,5.30,1,5,14,0,1,4.9,24.01,0,0,1,0,0
2248,250,5.52,0,1,14,0,1,7,49,0,0,0,0,0
2249,200,5.30,1,4,14,0,1,4.9,24.01,0,0,1,0,0
2250,150,5.01,0,2,14,0,1,7,49,0,0,0,0,1
2251,150,5.01,1,5,14,0,1,4.9,24.01,0,0,1,0,0
2252,250,5.52,1,1,14,0,1,4.9,24.01,0,0,1,0,0
2253,300,5.70,0,4,14,0,1,7,49,0,0,0,0,0
2254,350,5.86,0,4,14,0,1,7,49,0,1,1,0,0
2255,400,5.99,1,5,14,0,1,4.9,24.01,0,1,1,0,1
2256,100,4.61,0,3,14,0,1,8,64,0,0,0,0,0
2257,100,4.61,1,4,14,0,1,5.6,31.36,0,0,0,0,0
2258,100,4.61,1,1,14,0,1,5.6,31.36,0,0,0,0,0
2259,200,5.30,1,4,14,0,1,5.6,31.36,0,0,1,0,0
2260,100,4.61,1,1,14,0,1,5.6,31.36,0,0,0,0,1
2261,250,5.52,0,3,14,0,1,8,64,0,0,1,0,0
2262,300,5.70,1,4,14,0,1,5.6,31.36,0,1,1,0,0
2263,250,5.52,1,5,14,0,1,5.6,31.36,0,0,1,0,0
2264,150,5.01,1,4,14,0,1,5.6,31.36,0,0,0,0,0
2265,150,5.01,1,1,14,0,1,5.6,31.36,0,0,0,0,0
2266,150,5.01,1,3,14,0,1,5.6,31.36,0,0,0,0,0
2267,200,5.30,0,3,14,0,1,8,64,0,0,1,0,0
2268,350,5.86,0,1,14,0,1,8,64,0,1,1,0,0
2269,300,5.70,0,2,14,0,1,8,64,0,0,1,0,0
2270,350,5.86,0,3,14,0,1,8,64,0,1,1,0,1
2271,50,3.91,1,1,14,0,1,6.3,39.69,0,0,0,0,0
2272,50,3.91,1,1,14,0,1,6.3,39.69,0,0,0,0,1
2273,200,5.30,0,2,14,0,1,9,81,0,0,0,0,1
2274,156.25,5.05,0,4,14,0,1,9,81,0,0,1,0,0
2275,175,5.16,1,2,14,0,1,6.3,39.69,0,0,0,0,0
2276,175,5.16,0,1,14,0,1,9,81,0,0,1,0,1
2277,100,4.61,1,4,14,0,1,6.3,39.69,0,0,0,0,0
2278,100,4.61,1,4,14,0,1,6.3,39.69,0,0,0,0,0
2279,100,4.61,1,5,14,0,1,6.3,39.69,0,0,0,0,1
2280,200,5.30,0,1,14,0,1,9,81,0,0,0,0,0
2281,100,4.61,1,1,14,0,1,6.3,39.69,0,0,0,0,1
2282,50,3.91,1,1,14,0,1,6.3,39.69,0,0,1,0,1
2283,200,5.30,1,1,14,0,1,6.3,39.69,0,0,0,0,0
2284,300,5.70,1,1,14,0,1,6.3,39.69,0,1,0,0,0
2285,300,5.70,0,4,14,0,1,9,81,0,0,0,0,0
2286,150,5.01,0,4,14,0,1,9,81,0,0,1,0,0
2287,350,5.86,1,3,14,0,1,6.3,39.69,0,1,0,0,0
2288,200,5.30,1,2,14,0,1,6.3,39.69,0,0,1,0,0
2289,200,5.30,1,3,14,0,1,6.3,39.69,0,0,1,0,0
2290,150,5.01,1,1,14,0,1,6.3,39.69,0,0,0,0,0
2291,200,5.30,0,5,14,0,1,9,81,0,0,1,0,0
2292,225,5.42,0,2,14,0,1,9,81,0,0,1,0,1
2293,300,5.70,0,2,14,0,1,9,81,0,0,1,0,0
2294,250,5.52,0,4,14,0,1,9,81,0,0,1,0,0
2295,350,5.86,0,4,14,0,1,9,81,0,1,0,0,0
2296,400,5.99,0,1,14,0,1,9,81,0,1,1,0,1
2297,300,5.70,0,4,14,0,1,9,81,0,0,1,0,0
2298,150,5.01,1,4,14,0,1,7,49,0,0,0,0,0
2299,150,5.01,0,3,14,0,1,10,100,0,0,0,0,1
2300,100,4.61,0,1,14,0,1,10,100,0,0,0,0,1
2301,150,5.01,0,5,14,0,1,10,100,0,0,0,0,0
2302,250,5.52,0,4,14,0,1,10,100,0,0,1,0,0
2303,200,5.30,1,4,14,0,1,7,49,0,0,1,0,0
2304,150,5.01,1,2,14,0,1,7,49,0,0,1,0,1
2305,200,5.30,1,1,14,0,1,7,49,0,0,0,0,0
2306,300,5.70,0,2,14,0,1,10,100,0,0,0,0,0
2307,200,5.30,0,1,14,0,1,10,100,0,0,0,0,0
2308,250,5.52,0,5,14,0,1,10,100,0,0,0,0,0
2309,250,5.52,0,1,14,0,1,10,100,0,0,0,0,0
2310,350,5.86,1,3,14,0,1,7,49,0,1,1,0,0
2311,250,5.52,1,1,14,0,1,7,49,0,0,1,0,1
2312,250,5.52,0,2,14,0,1,10,100,0,0,1,0,1
2313,350,5.86,0,2,14,0,1,10,100,0,1,0,0,0
2314,150,5.01,1,4,14,0,1,7,49,0,0,1,0,0
2315,200,5.30,1,4,14,0,1,7,49,0,0,1,0,0
2316,250,5.52,0,1,14,0,1,10,100,0,0,0,0,1
2317,200,5.30,1,2,14,0,1,7,49,0,0,0,0,0
2318,150,5.01,1,4,14,0,1,7,49,0,0,0,0,0
2319,300,5.70,1,3,14,0,1,7,49,0,1,1,0,0
2320,300,5.70,0,5,14,0,1,10,100,0,0,1,0,0
2321,400,5.99,0,1,14,0,1,10,100,0,1,0,0,0
2322,300,5.70,1,3,14,0,1,7,49,0,1,1,0,0
2323,200,5.30,0,4,14,0,1,10,100,0,0,1,0,0
2324,300,5.70,0,2,14,0,1,10,100,0,0,1,0,0
2325,150,5.01,1,4,14,0,1,7,49,0,0,0,0,1
2326,250,5.52,1,1,14,0,1,7,49,0,0,0,0,0
2327,150,5.01,1,4,14,0,1,7,49,0,0,0,0,0
2328,200,5.30,0,3,14,0,1,10,100,0,0,0,0,0
2329,250,5.52,1,4,14,0,1,7,49,0,0,1,0,0
2330,350,5.86,0,1,14,0,1,10,100,0,1,0,0,0
2331,300,5.70,1,1,14,0,1,7,49,0,1,1,0,1
2332,400,5.99,1,2,14,0,1,7,49,0,1,0,0,0
2333,250,5.52,1,3,14,0,1,7,49,0,0,0,0,0
2334,200,5.30,1,5,14,0,1,7.7,59.29,0,0,0,0,0
2335,350,5.86,1,2,14,0,1,7.7,59.29,0,1,0,0,0
2336,100,4.61,1,1,14,0,1,7.7,59.29,0,0,0,0,1
2337,350,5.86,0,1,14,0,1,11,121,0,1,1,0,0
2338,156.25,5.05,1,3,14,0,1,7.7,59.29,0,0,1,0,1
2339,356.25,5.88,1,4,14,0,1,7.7,59.29,0,1,0,0,0
2340,225,5.42,1,2,14,0,1,7.7,59.29,0,0,1,0,0
2341,400,5.99,0,3,14,0,1,11,121,0,1,0,0,0
2342,150,5.01,1,1,14,0,1,7.7,59.29,0,0,1,0,0
2343,50,3.91,1,1,14,0,1,7.7,59.29,0,0,0,0,1
2344,100,4.61,0,5,14,0,1,11,121,0,0,1,0,0
2345,100,4.61,1,1,14,0,1,7.7,59.29,0,0,0,0,0
2346,250,5.52,1,3,14,0,1,7.7,59.29,0,0,1,0,0
2347,150,5.01,0,4,14,0,1,11,121,0,0,0,0,1
2348,200,5.30,1,1,14,0,1,7.7,59.29,0,0,0,0,0
2349,250,5.52,1,2,14,0,1,7.7,59.29,0,0,0,0,0
2350,150,5.01,1,5,14,0,1,7.7,59.29,0,0,1,0,0
2351,300,5.70,0,1,14,0,1,11,121,0,0,0,0,0
2352,300,5.70,0,4,14,0,1,11,121,0,0,0,0,0
2353,400,5.99,0,3,14,0,1,11,121,0,1,1,0,0
2354,250,5.52,1,1,14,0,1,7.7,59.29,0,0,1,0,0
2355,356.25,5.88,0,2,14,0,1,11,121,0,1,0,0,0
2356,50,3.91,1,5,14,0,1,8.4,70.56,0,0,1,0,0
2357,150,5.01,1,1,14,0,1,8.4,70.56,0,0,1,0,0
2358,150,5.01,0,4,14,0,1,12,144,0,0,1,0,0
2359,50,3.91,1,2,14,0,1,8.4,70.56,0,0,1,0,0
2360,6.25,1.83,1,4,14,0,1,8.4,70.56,0,0,0,0,1
2361,106.25,4.67,1,4,14,0,1,8.4,70.56,0,0,1,0,0
2362,156.25,5.05,1,4,14,0,1,8.4,70.56,0,0,0,0,0
2363,150,5.01,1,5,14,0,1,8.4,70.56,0,0,1,0,1
2364,200,5.30,0,2,14,0,1,12,144,0,0,0,0,0
2365,200,5.30,0,4,14,0,1,12,144,0,0,0,0,0
2366,250,5.52,1,1,14,0,1,8.4,70.56,0,0,0,0,1
2367,200,5.30,0,2,14,0,1,12,144,0,0,0,0,1
2368,150,5.01,0,3,14,0,1,12,144,0,0,0,0,0
2369,50,3.91,1,5,14,0,1,8.4,70.56,0,0,0,0,0
2370,150,5.01,1,1,14,0,1,8.4,70.56,0,0,0,0,0
2371,150,5.01,1,4,14,0,1,8.4,70.56,0,0,1,0,0
2372,300,5.70,0,5,14,0,1,12,144,0,0,1,0,0
2373,150,5.01,0,5,14,0,1,12,144,0,0,1,0,0
2374,200,5.30,1,4,14,0,1,8.4,70.56,0,0,0,0,1
2375,100,4.61,1,3,14,0,1,8.4,70.56,0,0,0,0,0
2376,250,5.52,1,4,14,0,1,8.4,70.56,0,0,0,0,0
2377,300,5.70,1,2,14,0,1,8.4,70.56,0,1,1,0,0
2378,150,5.01,0,3,14,0,1,12,144,0,0,0,0,0
2379,350,5.86,0,3,14,0,1,12,144,0,1,1,0,0
2380,300,5.70,1,3,14,0,1,8.4,70.56,0,1,1,0,0
2381,150,5.01,0,1,14,0,1,12,144,0,0,0,0,0
2382,200,5.30,0,1,14,0,1,12,144,0,0,0,0,0
2383,150,5.01,0,2,14,0,1,12,144,0,0,0,0,0
2384,300,5.70,0,5,14,0,1,12,144,0,0,1,0,0
2385,250,5.52,1,3,14,0,1,8.4,70.56,0,0,1,0,0
2386,200,5.30,1,5,14,0,1,8.4,70.56,0,0,1,0,0
2387,400,5.99,0,5,14,0,1,12,144,0,1,1,0,0
2388,100,4.61,1,1,14,0,1,9.1,82.81,0,0,1,0,0
2389,100,4.61,1,2,14,0,1,9.1,82.81,0,0,0,0,1
2390,6.25,1.83,1,1,14,0,1,9.1,82.81,0,0,0,0,1
2391,100,4.61,1,2,14,0,1,9.1,82.81,0,0,1,0,1
2392,25,3.22,1,1,14,0,1,9.1,82.81,0,0,0,0,1
2393,25,3.22,1,4,14,0,1,9.1,82.81,0,0,0,0,1
2394,50,3.91,1,1,14,0,1,9.1,82.81,0,0,0,0,0
2395,256.25,5.55,0,1,14,0,1,13,169,0,0,1,0,0
2396,56.25,4.03,1,5,14,0,1,9.1,82.81,0,0,0,0,1
2397,6.25,1.83,1,3,14,0,1,9.1,82.81,0,0,0,0,1
2398,25,3.22,1,1,14,0,1,9.1,82.81,0,0,0,0,1
2399,25,3.22,1,5,14,0,1,9.1,82.81,0,0,0,0,1
2400,150,5.01,1,2,14,0,1,9.1,82.81,0,0,0,0,0
2401,50,3.91,1,4,14,0,1,9.1,82.81,0,0,0,0,1
2402,100,4.61,1,4,14,0,1,9.1,82.81,0,0,0,0,0
2403,250,5.52,1,4,14,0,1,9.1,82.81,0,0,0,0,1
2404,250,5.52,1,5,14,0,1,9.1,82.81,0,0,1,0,0
2405,100,4.61,1,4,14,0,1,9.1,82.81,0,0,0,0,0
2406,150,5.01,1,5,14,0,1,9.1,82.81,0,0,1,0,1
2407,250,5.52,0,2,14,0,1,13,169,0,0,1,0,0
2408,206.25,5.33,0,1,14,0,1,13,169,0,0,0,0,0
2409,200,5.30,1,2,14,0,1,9.1,82.81,0,0,1,0,0
2410,250,5.52,1,3,14,0,1,9.1,82.81,0,0,1,0,1
2411,100,4.61,1,5,14,0,1,9.8,96.04,0,0,1,0,0
2412,50,3.91,1,5,14,0,1,9.8,96.04,0,0,1,0,0
2413,250,5.52,1,5,14,0,1,9.8,96.04,0,0,1,0,0
2414,100,4.61,0,2,14,0,1,14,196,0,0,1,0,0
2415,150,5.01,1,5,14,0,1,9.8,96.04,0,0,1,0,0
2416,50,3.91,1,1,14,0,1,9.8,96.04,0,0,0,0,1
2417,100,4.61,1,4,14,0,1,9.8,96.04,0,0,1,0,1
2418,200,5.30,1,2,14,0,1,9.8,96.04,0,0,0,0,0
2419,75,4.32,0,3,14,0,1,14,196,0,0,0,0,1
2420,250,5.52,1,4,14,0,1,9.8,96.04,0,0,1,0,0
2421,250,5.52,1,5,14,0,1,9.8,96.04,0,0,1,0,0
2422,250,5.52,0,1,14,0,1,14,196,0,0,1,0,1
2423,150,5.01,1,1,14,0,1,9.8,96.04,0,0,0,0,0
2424,250,5.52,0,5,14,0,1,14,196,0,0,1,0,0
2425,300,5.70,0,2,14,0,1,14,196,0,0,0,0,0
2426,100,4.61,1,4,14,0,1,9.8,96.04,0,0,0,0,0
2427,100,4.61,1,3,14,0,1,9.8,96.04,0,0,1,0,0
2428,200,5.30,1,1,14,0,1,9.8,96.04,0,0,0,0,0
2429,150,5.01,0,5,14,0,1,14,196,0,0,0,0,0
2430,200,5.30,1,5,14,0,1,9.8,96.04,0,0,1,0,0
2431,100,4.61,0,3,14,0,1,14,196,0,0,0,0,1
2432,300,5.70,0,4,14,0,1,14,196,0,0,1,0,0
2433,200,5.30,1,5,14,0,1,9.8,96.04,0,0,1,0,0
2434,200,5.30,1,1,14,0,1,9.8,96.04,0,0,0,0,0
2435,250,5.52,1,4,14,0,1,9.8,96.04,0,0,1,0,0
2436,175,5.16,1,4,14,0,1,9.8,96.04,0,0,1,0,0
2437,150,5.01,1,2,14,0,1,9.8,96.04,0,0,0,0,0
2438,400,5.99,0,3,14,0,1,14,196,0,1,1,0,0
2439,300,5.70,0,2,14,0,1,14,196,0,0,0,0,0
2440,400,5.99,0,3,14,0,1,14,196,0,1,0,0,1
2441,300,5.70,1,4,14,0,1,9.8,96.04,0,1,1,0,0
2442,200,5.30,1,4,14,0,1,9.8,96.04,0,0,0,0,0
2443,300,5.70,0,3,14,0,1,14,196,0,0,1,0,0
2444,250,5.52,0,5,14,0,1,14,196,0,0,1,0,1
2445,400,5.99,0,4,14,0,1,14,196,0,1,1,0,0
2446,6.25,1.83,1,4,14,0,1,10.5,110.25,0,0,1,0,1
2447,6.25,1.83,1,3,14,0,1,10.5,110.25,0,0,0,0,1
2448,6.25,1.83,1,5,14,0,1,10.5,110.25,0,0,1,0,1
2449,250,5.52,1,2,14,0,1,10.5,110.25,0,0,0,0,0
2450,200,5.30,1,1,14,0,1,10.5,110.25,0,0,0,0,0
2451,100,4.61,1,5,14,0,1,10.5,110.25,0,0,1,0,1
2452,6.25,1.83,1,1,14,0,1,10.5,110.25,0,0,0,0,1
2453,250,5.52,1,3,14,0,1,10.5,110.25,0,0,0,0,0
2454,100,4.61,1,2,14,0,1,10.5,110.25,0,0,1,0,1
2455,12.5,2.53,1,5,14,0,1,10.5,110.25,0,0,1,0,1
2456,106.25,4.67,1,3,14,0,1,10.5,110.25,0,0,0,0,1
2457,12.5,2.53,1,5,14,0,1,10.5,110.25,0,0,0,0,1
2458,31.25,3.44,1,2,14,0,1,10.5,110.25,0,0,0,0,1
2459,75,4.32,1,1,14,0,1,10.5,110.25,0,0,0,0,0
2460,275,5.62,0,1,14,0,1,15,225,0,0,0,0,0
2461,150,5.01,0,2,14,0,1,15,225,0,0,1,0,0
2462,75,4.32,1,5,14,0,1,10.5,110.25,0,0,1,0,1
2463,50,3.91,1,5,14,0,1,10.5,110.25,0,0,1,0,1
2464,150,5.01,0,3,14,0,1,15,225,0,0,1,0,0
2465,100,4.61,1,4,14,0,1,10.5,110.25,0,0,1,0,0
2466,150,5.01,1,5,14,0,1,10.5,110.25,0,0,0,0,0
2467,100,4.61,1,5,14,0,1,10.5,110.25,0,0,0,0,0
2468,450,6.11,0,1,14,0,1,15,225,0,1,1,0,0
2469,100,4.61,1,3,14,0,1,10.5,110.25,0,0,0,0,0
2470,300,5.70,1,3,14,0,1,10.5,110.25,0,1,1,0,0
2471,150,5.01,0,2,14,0,1,15,225,0,0,0,0,0
2472,150,5.01,1,3,14,0,1,10.5,110.25,0,0,1,0,0
2473,350,5.86,0,1,14,0,1,15,225,0,1,1,0,0
2474,200,5.30,1,1,14,0,1,10.5,110.25,0,0,0,0,0
2475,150,5.01,1,5,14,0,1,10.5,110.25,0,0,1,0,0
2476,200,5.30,1,5,14,0,1,10.5,110.25,0,0,1,0,0
2477,225,5.42,1,2,14,0,1,10.5,110.25,0,0,1,0,0
2478,200,5.30,0,3,14,0,1,15,225,0,0,0,0,1
2479,400,5.99,0,3,14,0,1,15,225,0,1,1,0,0
2480,350,5.86,0,5,14,0,1,15,225,0,1,1,0,1
2481,250,5.52,1,5,14,0,1,10.5,110.25,0,0,1,0,1
2482,550,6.31,0,4,14,0,1,15,225,1,1,1,1,0
2483,350,5.86,0,4,14,0,1,15,225,0,1,1,0,0
2484,506.25,6.23,0,3,14,0,1,15,225,1,1,1,0,0
2485,150,5.01,1,1,14,0,1,11.2,125.44,0,0,1,0,1
2486,200,5.30,1,1,14,0,1,11.2,125.44,0,0,0,0,0
2487,150,5.01,1,5,14,0,1,11.2,125.44,0,0,0,0,0
2488,200,5.30,1,1,14,0,1,11.2,125.44,0,0,0,0,0
2489,6.25,1.83,1,1,14,0,1,11.2,125.44,0,0,0,0,1
2490,200,5.30,0,1,14,0,1,16,256,0,0,1,0,0
2491,206.25,5.33,1,5,14,0,1,11.2,125.44,0,0,0,0,0
2492,31.25,3.44,1,5,14,0,1,11.2,125.44,0,0,1,0,0
2493,6.25,1.83,1,1,14,0,1,11.2,125.44,0,0,0,0,1
2494,6.25,1.83,1,5,14,0,1,11.2,125.44,0,0,1,0,1
2495,12.5,2.53,1,5,14,0,1,11.2,125.44,0,0,0,0,1
2496,6.25,1.83,1,4,14,0,1,11.2,125.44,0,0,1,0,1
2497,106.25,4.67,1,2,14,0,1,11.2,125.44,0,0,0,0,0
2498,31.25,3.44,1,4,14,0,1,11.2,125.44,0,0,0,0,0
2499,31.25,3.44,1,4,14,0,1,11.2,125.44,0,0,0,0,1
2500,56.25,4.03,1,3,14,0,1,11.2,125.44,0,0,0,0,1
2501,50,3.91,1,4,14,0,1,11.2,125.44,0,0,0,0,1
2502,50,3.91,0,1,14,0,1,16,256,0,0,0,0,0
2503,100,4.61,1,4,14,0,1,11.2,125.44,0,0,0,0,1
2504,300,5.70,0,2,14,0,1,16,256,0,0,1,0,0
2505,150,5.01,1,1,14,0,1,11.2,125.44,0,0,0,0,0
2506,150,5.01,0,1,14,0,1,16,256,0,0,0,0,1
2507,250,5.52,0,2,14,0,1,16,256,0,0,0,0,0
